Category 1,Category 2,Category 3,Name,PLU,Base Price,GTINs,Description,Image Links,Weight Unit,Weight,Dimension Unit,Height,Width,Length,Manufacturer Name,Manufacturer Brand,Manufacturer Address,Tax Rate,Program Eligibility,Price Unit,Sell Unit,Volume Unit,Volume,Allergens,Energy,Energy Unit,Product Traits,Wine variety,Wine vintage,Alcohol percentage,Wine styles,Country origin,Package type,Region origin,Grape variety,Tasting notes,Package Dimension Height,Package Dimension Width,Package Dimension Length,Package Dimension Unit,Package Volume,Package Volume Unit,Package Weight,Package Weight Unit,Package Count,Storage Instructions,Net Quantity Unit,Net Quantity,Serving Size Unit,Serving Size,Servings,Conversion Rate,Minimum Quantity,Maximum Quantity,Ingredients,Additives,Instruction For Use,Deposit,Added Sugar,Calcium,Carbohydrates,Chloride,Cholesterol,Fat,Fiber,Fluoride,Magnesium,Monounsaturated Fat,Polyols,Polyunsaturated Fat,Potassium,Protein,Salt,Saturated Fat,Sodium,Starch,Sugar,Trans Fat,Vitamin C,In-store price
"Crisps, Snacks & Biscuits","Dried Fruit, Nuts & Seeds",,Walkers Sensations Honey & Salt Roasted Sharing Peanuts 145g,10110000,3.13,5000328698588,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000328698588,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
"Crisps, Snacks & Biscuits","Dried Fruit, Nuts & Seeds",,Roasted & Salted Mixed Nuts 200g,10110065,2.84,5052449651065,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449651065,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
"Crisps, Snacks & Biscuits","Dried Fruit, Nuts & Seeds",,Whitworths Dazzling Dates 300g,32920002,2.12,5000234049795,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000234019231,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
"Crisps, Snacks & Biscuits","Dried Fruit, Nuts & Seeds",,Yogurt Coated Raisin Snack Bags 5 x 25g (125g),10110002,2.52,5054070231845,,https://asdagroceries.scene7.com/is/image/asdagroceries/5054070231845,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
"Crisps, Snacks & Biscuits",Other,,Hartley's Jelly Strawberry Flavour 125g,32900015,0.98,50126064,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000050126064,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98
"Crisps, Snacks & Biscuits",Other,,Hartley's Jelly Blackcurrant Flavour 125g,32900037,0.98,50126040,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000050126040,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98
"Crisps, Snacks & Biscuits",Other,,Hartley's Jelly Raspberry Flavour 125g,32900019,0.98,50126033,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000050126033,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98
"Crisps, Snacks & Biscuits",Other,,Hartley's Jelly Strawberry Flavour 115g,32900018,0.98,50126071,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000050126071,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98
"Crisps, Snacks & Biscuits",Other,,NUTELLA® & Go! Hazelnut Spread with Cocoa + Breadsticks 48g,31690126,1.74,5020411121182,,https://asdagroceries.scene7.com/is/image/asdagroceries/5020411121175,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74
"Deli, Dips & Cooked Meat",Cooked & Cured Meat,,"Billy Bear Delicious Slices of Pork Sausage, Cured and Cooked 100g",39720001,1.73,5099337000079,,https://asdagroceries.scene7.com/is/image/asdagroceries/5099337000079,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
